,MovieID,Title,Genres,NumRatings,AvgRating
2698,2905,Sanjuro (1962),Multiple,69,4.608695652173913
1839,2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Multiple,628,4.560509554140127
309,318,"Shawshank Redemption, The (1994)",Drama,2227,4.554557700942973
802,858,"Godfather, The (1972)",Multiple,2223,4.524966261808367
708,745,"Close Shave, A (1995)",Multiple,657,4.52054794520548
49,50,"Usual Suspects, The (1995)",Multiple,1783,4.517106001121705
513,527,Schindler's List (1993),Multiple,2304,4.510416666666667
1066,1148,"Wrong Trousers, The (1993)",Multiple,882,4.507936507936508
861,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir,470,4.491489361702127
1108,1198,Raiders of the Lost Ark (1981),Multiple,2514,4.477724741447892
843,904,Rear Window (1954),Multiple,1050,4.476190476190476
1090,1178,Paths of Glory (1957),Multiple,230,4.473913043478261
253,260,Star Wars: Episode IV - A New Hope (1977),Multiple,2991,4.453694416583082
1122,1212,"Third Man, The (1949)",Multiple,480,4.452083333333333
713,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Multiple,1367,4.4498902706656915
689,720,Wallace & Gromit: The Best of Aardman Animation (1996),Animation,438,4.426940639269406
1117,1207,To Kill a Mockingbird (1962),Drama,928,4.425646551724138
3203,3435,Double Indemnity (1944),Multiple,551,4.415607985480944
851,912,Casablanca (1942),Multiple,1669,4.412822049131217
648,670,"World of Apu, The (Apur Sansar) (1959)",Drama,56,4.410714285714286
2557,2762,"Sixth Sense, The (1999)",Thriller,2459,4.406262708418057
2816,3030,Yojimbo (1961),Multiple,215,4.404651162790698
1114,1204,Lawrence of Arabia (1962),Multiple,831,4.401925391095066
852,913,"Maltese Falcon, The (1941)",Multiple,1043,4.395973154362416
1104,1193,One Flew Over the Cuckoo's Nest (1975),Drama,1725,4.390724637681159
862,923,Citizen Kane (1941),Drama,1116,4.388888888888889
3081,3307,City Lights (1931),Multiple,271,4.387453874538745
1158,1250,"Bridge on the River Kwai, The (1957)",Multiple,938,4.386993603411514
847,908,North by Northwest (1959),Multiple,1315,4.38403041825095
1170,1262,"Great Escape, The (1963)",Multiple,696,4.376436781609195
2809,3022,"General, The (1927)",Comedy,206,4.368932038834951
1133,1223,"Grand Day Out, A (1992)",Multiple,473,4.361522198731501
1131,1221,"Godfather: Part II, The (1974)",Multiple,1692,4.357565011820331
2873,3089,"Bicycle Thief, The (Ladri di biciclette) (1948)",Drama,252,4.357142857142857
579,593,"Silence of the Lambs, The (1991)",Multiple,2578,4.3518231186966645
316,326,To Live (Huozhe) (1994),Drama,61,4.344262295081967
2918,3134,"Grand Illusion (Grande illusion, La) (1937)",Multiple,165,4.33939393939394
1160,1252,Chinatown (1974),Multiple,1185,4.339240506329114
1848,2028,Saving Private Ryan (1998),Multiple,2653,4.337353938937053
3197,3429,Creature Comforts (1990),Multiple,274,4.335766423357664
1059,1136,Monty Python and the Holy Grail (1974),Comedy,1599,4.335209505941213
1175,1267,"Manchurian Candidate, The (1962)",Multiple,765,4.333333333333333
2131,2324,Life Is Beautiful (La Vita è bella) (1997),Multiple,1152,4.329861111111111
3237,3470,Dersu Uzala (1974),Multiple,92,4.326086956521739
1054,1131,Jean de Florette (1986),Drama,216,4.324074074074074
1065,1147,When We Were Kings (1996),Documentary,277,4.32129963898917
